IP,Frequency
13.66.139.0,1
157.48.153.185,2
216.244.66.230,1
54.36.148.92,1
92.101.35.224,1
73.166.162.225,2
54.36.148.108,1
54.36.148.1,1
162.158.203.24,1
35.237.4.214,1
42.236.10.125,14
11.9.4.974,35
2.13.1.48,35
42.236.10.117,8
42.236.10.114,9
191.102.167.138,2
54.36.149.55,1
95.217.229.86,1
182.239.117.249,3
66.249.64.41,1
157.48.208.79,4
162.210.196.129,2
66.249.66.158,1
45.145.161.12,6
45.132.51.36,30
45.138.145.131,16
45.144.0.179,14
194.156.95.52,18
45.153.227.31,20
45.138.4.22,4
87.247.143.24,4
45.144.0.98,16
45.132.51.62,18
176.222.58.254,10
176.222.58.90,14
45.132.207.154,18
45.153.227.55,12
45.07.2.505,4
87.247.143.30,6
45.145.161.6,6
194.156.95.20,4
45.132.207.221,13
45.138.145.106,10
54.36.149.8,1
5.0.1.313,2
10.1.4.303,2
85.0.564.41,2
84.0.522.59,2
45.138.4.35,4
84.229.183.233,2
168.91.81.164,2
